path,label,h_mean,h_std,s_mean,s_std,v_mean,v_std,l_mean,l_std,a_mean,a_std,b_mean,b_std,gray_mean,gray_std,h_hist_0,h_hist_1,h_hist_2,h_hist_3,h_hist_4,h_hist_5,h_hist_6,h_hist_7,h_hist_8,h_hist_9,h_hist_10,h_hist_11,h_hist_12,h_hist_13,h_hist_14,h_hist_15,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,hog_mean,hog_std,edge_density,area,perimeter,circularity,aspect_ratio
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 1.jpg,Diseased leaf,32.6627868307283,5.421608278977857,174.62101762554042,31.53648818473022,141.63704689058864,49.563890143709614,139.69690721649485,48.54665288391328,111.591286997007,9.881645667122584,173.10448952444295,13.37371769698749,125.09437978051214,45.53951866491588,0.0,0.0315929502248764,0.4748254120349884,0.4891253709793091,0.0044562686234712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62864168326692,0.7687112131016021,0.7335578724330628,0.7573045097419514,0.0653807781798882,0.119454605911576,0.0614566012596304,0.1044895244360166,0.1794479547602628,0.1159960093038911,0.0659793814389105,0.0942467575594115,0.0649151978673152,0.1286331892165857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131001915455701,0.1798533723062431,0.2741602926504107,0.0,5976.5,507.03657722473145,0.2921313782023746,0.6474820097303453
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 10.jpg,Diseased leaf,45.56159472711197,5.288003523867599,224.26054175709348,30.552423753521392,124.34362189534605,21.46765299473313,118.975693272245,20.84447029640205,92.6272807652118,6.71673287507358,174.48013825255205,8.172865791344242,95.28063660477454,19.74543234099416,0.0,0.003761755535379,0.0213326904922723,0.10955710709095,0.8457680344581604,0.0071537657640874,0.0083916084840893,0.0034884654451161,0.0005465798312798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67419384960159,0.4438080934245716,0.1545036131829771,0.4466064133896233,0.0776464914383466,0.0812635640208783,0.0446748653638023,0.0840125391836024,0.1578329716235377,0.106775982636335,0.0748171368848996,0.0851056988974342,0.1269833614640787,0.1608873884710089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2865047335926334,0.1703706214995167,0.0820512820512768,0.0,64256.0,1122.8528121709824,0.6404391740874992,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 100.jpg,Diseased leaf,44.52097891286871,6.153641322134179,168.1855482035743,28.622999438878946,107.47909838599963,23.37349251714652,105.34639168882568,23.379173455575767,103.78810834209388,6.468326397255704,161.61580916455384,4.811564977022645,89.0991126089914,23.933862008029056,0.0,0.0091367261484265,0.0735730603337287,0.1821625083684921,0.7351276874542236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.98470181772909,0.3418172983517356,0.0956155636193896,0.2899453430847251,0.0831581225638,0.1078319213390045,0.0670799579483785,0.0833127203004867,0.0942273205105709,0.0778708799691133,0.0726763960164387,0.1064405417088238,0.1235390513863777,0.1838630882415456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273035031310769,0.0631151955749983,0.1103364046750288,0.0,65025.0,1020.0,0.7853981633966933,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 100_aug1.jpg,Diseased leaf,45.27544930313882,6.5644622425225645,229.08495149711672,36.63575310462029,63.78803315344396,19.688350227523888,60.09710663909484,21.14707357537881,107.42623694961416,5.685953333305326,155.41999966375818,4.403520358786004,48.77764328104773,20.053052947121152,0.0001681209105299,0.0087759112939238,0.0743430703878402,0.1319244801998138,0.783409833908081,0.0012945310445502,1.6812091416795738e-05,0.0,0.0,1.6812091416795738e-05,1.6812091416795738e-05,1.6812091416795738e-05,0.0,0.0,1.6812091416795738e-05,0.0,36.59032619521913,0.4407479507830217,0.1343685166926225,0.4634583141783127,0.0625241673801293,0.0916595215263418,0.0678704123994574,0.1005867419831444,0.1234848102734741,0.1004354331618426,0.0849346850240423,0.0945175770398191,0.1201392041135801,0.1538474470813562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3113837519195619,0.1114233323620992,0.0625409794724324,0.0,59921.0,971.622364282608,0.797616099367273,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 100_aug2.jpg,Diseased leaf,44.49407835318576,6.462467542486213,220.1077484109537,38.15820214083404,89.6405773392635,25.75197610713169,86.26501712591381,26.198081852692702,102.68536032581838,7.159423172826908,163.29310021641703,4.691038205681012,69.88574203772814,26.37552077947357,0.0,0.0101221818476915,0.0803469493985176,0.1560417860746383,0.7523984909057617,0.0008861169335432,3.40814221999608e-05,0.0,0.0,5.112212966196239e-05,3.40814221999608e-05,6.81628443999216e-05,1.70407110999804e-05,0.0,0.0,0.0,63.33805403386455,0.3871996969079806,0.1185612368337355,0.5134710382898049,0.0679413117927178,0.0938431913826177,0.0729342398978761,0.1023465058006177,0.1236473936212591,0.0939624763544133,0.0819487756235715,0.095513180987756,0.1114121636570827,0.1564507608650469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307265660957138,0.115007401682118,0.1010854932433516,0.0,58971.0,959.0782079696656,0.8056386817208423,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 100_aug3.jpg,Diseased leaf,44.52969046114971,6.2001444029974175,167.42878279083686,28.45393147065121,106.55833361039996,24.26586479311381,104.51831964624132,24.311113253235188,104.1399906905609,6.621492953982109,161.2520863117997,5.427658494156839,88.4955447684277,24.38607610809008,0.0,0.0078299036249518,0.0756225660443306,0.1870366036891937,0.7255544066429138,0.0039565116167068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.05840699701196,0.4106559912497023,0.1207434274248359,0.6330840651721877,0.0657479136871072,0.0933437510374481,0.069554809321582,0.1052299098961793,0.1207733484037508,0.1023539581723184,0.0808258802393718,0.0952388868554836,0.1101838614205176,0.1567476809496168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127721241886311,0.115259313651264,0.0881071915417038,0.0,60362.5,997.9827550649644,0.7616071433226745,1.0756302475813857
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 101.jpg,Diseased leaf,65.28343176118437,14.46439881816161,83.40423509424804,26.80912040409193,106.08809966831164,27.38115291483341,106.55654882291076,26.64935704510761,111.72868295445352,7.278583552723546,139.7249615726883,11.181089456564813,94.13514278780032,24.225115493882225,0.0001617992093088,0.0025887873489409,0.0175754390656948,0.0403082258999347,0.261730432510376,0.1745813488960266,0.3111196458339691,0.1749858409166336,0.0165641941130161,2.022490116360132e-05,0.000101124503999,0.0002629237133078,0.0,0.0,0.0,0.0,65.2871327191235,0.4751879655585044,0.2058604239948722,0.741603791628297,0.0577825418643762,0.084155812634816,0.0662163255386656,0.1158482323413185,0.1462058085885809,0.1264056306098534,0.0918008251740999,0.0820726478423656,0.0896772105798544,0.1398349648058443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2806746269490834,0.1480412043544223,0.1014481029042877,0.0,54099.5,1346.5655764341354,0.3749281935125333,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 101_aug1.jpg,Diseased leaf,65.29722407553426,14.531437778480823,83.40971674652756,26.768941207729902,106.12498736378156,27.40210914095226,106.5895554072906,26.675847282038145,111.73488202826468,7.281508754825545,139.71494713006206,11.174934367423722,94.17116516042942,24.271217315307428,0.0001819615426938,0.0030731284059584,0.0176907051354646,0.0404156818985939,0.2595782577991485,0.1753098368644714,0.3122055828571319,0.1739350259304046,0.0171448215842247,6.0653848777292296e-05,2.0217948986100964e-05,0.0002426153951091,0.0001010897467494,0.0,4.043589797220193e-05,0.0,65.1163626743028,0.4752691549405241,0.2057388531622151,0.7424734681661709,0.0579850791520999,0.0839449263038769,0.0660722589501612,0.1158690685567241,0.1461151210014735,0.1262610945972329,0.0917490548090061,0.0823477082937597,0.089626170112015,0.1400295182034324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818937580585557,0.1471882513815146,0.1012110551747761,0.0,54097.0,1339.6366436481476,0.3787991611998521,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 101_aug2.jpg,Diseased leaf,65.28343176118437,14.46439881816161,83.40423509424804,26.80912040409193,106.08809966831164,27.38115291483341,106.55654882291076,26.64935704510761,111.72868295445352,7.278583552723546,139.7249615726883,11.181089456564813,94.13514278780032,24.225115493882225,0.0001617992093088,0.0025887873489409,0.0175754390656948,0.0403082258999347,0.261730432510376,0.1745813488960266,0.3111196458339691,0.1749858409166336,0.0165641941130161,2.022490116360132e-05,0.000101124503999,0.0002629237133078,0.0,0.0,0.0,0.0,65.2871327191235,0.4751879655585044,0.2058604239948722,0.741603791628297,0.0577825418643762,0.084155812634816,0.0662163255386656,0.1158482323413185,0.1462058085885809,0.1264056306098534,0.0918008251740999,0.0820726478423656,0.0896772105798544,0.1398349648058443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2806746269490834,0.1480412043544223,0.1014481029042877,0.0,54099.5,1346.5655764341354,0.3749281935125333,0.99999999609375
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 101_aug3.jpg,Diseased leaf,64.96045810729355,13.655317022053271,63.34840265220012,20.97468929157848,151.98425557564798,27.98985552858271,152.13776974080773,25.41989499767083,110.91563592525618,7.196465896598377,140.43361060880048,11.283179399234347,138.83995177817962,24.448155328632893,7.233273208839819e-05,0.0004822181945201,0.0110186859965324,0.0354189276695251,0.2831103205680847,0.1859192252159118,0.3060638904571533,0.1684629321098327,0.009089813567698,0.0,0.0002169981889892,4.8221820179605857e-05,4.8221820179605857e-05,0.0,0.0,4.8221820179605857e-05,135.6383372758964,0.5622640136992942,0.3164714491799648,0.7720354342737868,0.0358288125368094,0.0603737191064406,0.0557203134404889,0.1452923447825125,0.1980952380904618,0.1709463532207125,0.0987823990331818,0.0630018083167449,0.0698734177198342,0.1020855937287019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2448072046045352,0.1919834028163822,0.0920313441832342,0.0,45886.0,1749.6753100156784,0.1883541259092207,1.0711297026312565
dataset/train_banana_aug\Diseased leaf\Banana Diseased leaf 102.jpg,Diseased leaf,41.83345048899756,10.296042585526562,126.81460880195598,23.97704906650167,131.2439792176039,35.10413878328237,131.70505806845966,35.43479374383005,110.24943459657702,3.064514840629154,160.52799511002445,11.323910101647582,117.8218979217604,34.019393743519615,1.5281173546100035e-05,0.0015739608788862,0.0856204181909561,0.6497402191162109,0.0993887558579444,0.15397310256958,0.0096882637590169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25091820219124,0.3480370097972702,0.0690592967028589,0.861940870118417,0.0792328850843638,0.0859871638128669,0.052689486551762,0.0907548899741632,0.1483954767703484,0.1033465770155356,0.0698044009769284,0.093658312957004,0.1144712713918937,0.1616595354498524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3159069379961422,0.1063669008258398,0.1441167481662505,0.0,64933.0,1016.970562338829,0.7889665100725933,0.99999999609375
